Timestamp,EM01,EM02,EM03,EM04,Unit01
2026-07-28 21:08:24,1,9,10,0,3
2026-07-28 21:08:26,7,2,3,1,1
2026-07-28 21:08:28,1,11,8,7,9
2026-07-28 21:08:30,6,7,5,5,5
2026-07-28 21:08:32,3,11,2,11,11
2026-07-28 21:08:34,4,0,11,9,5
2026-07-28 21:08:36,2,10,10,11,5
2026-07-28 21:08:38,6,8,0,6,4
2026-07-28 21:08:40,6,4,5,5,10
2026-07-28 21:08:42,7,4,8,10,7
2026-07-28 21:08:44,1,7,8,0,11
2026-07-28 21:08:46,11,2,7,2,6
2026-07-28 21:08:48,1,0,8,7,5
2026-07-28 21:08:50,7,9,4,8,10
2026-07-28 21:08:52,2,2,8,0,1
2026-07-28 21:08:54,3,7,4,9,11
2026-07-28 21:08:56,9,9,3,11,4
2026-07-28 21:08:58,3,9,2,2,5
2026-07-28 21:09:00,0,2,3,8,10
2026-07-28 21:09:02,2,10,8,8,4
2026-07-28 21:09:04,10,2,10,7,8
2026-07-28 21:09:06,8,11,2,6,5
2026-07-28 21:09:08,5,7,10,4,10
2026-07-28 21:09:10,11,10,0,4,6
2026-07-28 21:09:12,4,2,2,1,9
2026-07-28 21:09:14,4,6,8,3,9
2026-07-28 21:09:16,11,10,6,9,5
2026-07-28 21:09:18,5,0,5,2,1,8,7,6,2,2,6
2026-07-28 21:09:20,10,11,11,9,1,1,0,2,8,4,3
2026-07-28 21:09:22,6,7,2,10,10,9,5,11,1,5,6
2026-07-28 21:09:24,10,4,7,0,8,11,2,6,0,0,10
2026-07-28 21:09:26,7,9,6,6,6,8,6,1,9,9,2
2026-07-28 21:09:28,11,2,1,8,7,6,6,0,9,4,3
2026-07-28 21:09:30,10,3,4,4,7,5,10,5,8,0,11
2026-07-28 21:09:32,9,4,5,4,7,10,7,0,3,3,4
